call_id,timestamp,date,agent_id,agent_name,campaign_id,campaign_name,dialer,disposition,duration_sec,is_connected
CALL000019,2026-04-28 08:25:46,2026-04-28,AGT002,Priya Lewis,CMP003,Customer Support Inbound,Acqueon,Callback Scheduled,16,0
CALL000020,2026-04-28 11:34:28,2026-04-28,AGT011,Raj Davis,CMP004,Win-Back Campaign,RingCentral,Connected,241,1
CALL000021,2026-04-28 09:28:51,2026-04-28,AGT005,James Williams,CMP002,Product Renewal Outreach,Twilio,Connected,300,1
CALL000022,2026-04-28 16:53:00,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000023,2026-04-28 10:26:31,2026-04-28,AGT003,Kevin Kim,CMP005,New Leads May Blast,Five9,Busy,0,0
CALL000024,2026-04-28 10:24:00,2026-04-28,AGT016,Linda Garcia,CMP001,Q2 Collections Drive,Five9,Voicemail,13,0
CALL000025,2026-04-28 15:18:27,2026-04-28,AGT013,Kevin Walker,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000026,2026-04-28 12:13:03,2026-04-28,AGT018,Chris Johnson,CMP003,Customer Support Inbound,Acqueon,Voicemail,22,0
CALL000027,2026-04-28 08:03:37,2026-04-28,AGT019,Julia Davis,CMP003,Customer Support Inbound,Acqueon,Connected,366,1
CALL000028,2026-04-28 10:03:32,2026-04-28,AGT016,Linda Garcia,CMP003,Customer Support Inbound,Acqueon,Busy,0,0
CALL000029,2026-04-28 11:25:07,2026-04-28,AGT003,Kevin Kim,CMP005,New Leads May Blast,Five9,Connected,114,1
CALL000030,2026-04-28 17:05:26,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000031,2026-04-28 11:42:45,2026-04-28,AGT019,Julia Davis,CMP003,Customer Support Inbound,Acqueon,Connected,312,1
CALL000032,2026-04-28 12:29:20,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,52,0
CALL000033,2026-04-28 17:06:04,2026-04-28,AGT003,Kevin Kim,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000034,2026-04-28 09:56:15,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Connected,402,1
CALL000035,2026-04-28 12:39:51,2026-04-28,AGT012,Nina Anderson,CMP001,Q2 Collections Drive,Five9,Voicemail,44,0
CALL000036,2026-04-28 12:59:42,2026-04-28,AGT017,Andre Wilson,CMP001,Q2 Collections Drive,Five9,Busy,0,0
CALL000037,2026-04-28 09:47:35,2026-04-28,AGT004,Omar Lewis,CMP005,New Leads May Blast,Five9,Connected,163,1
CALL000038,2026-04-28 13:13:43,2026-04-28,AGT005,James Williams,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000039,2026-04-28 09:40:27,2026-04-28,AGT009,Nina Robinson,CMP003,Customer Support Inbound,Acqueon,Connected,97,1
CALL000040,2026-04-28 12:10:47,2026-04-28,AGT009,Nina Robinson,CMP001,Q2 Collections Drive,Five9,Connected,178,1
CALL000041,2026-04-28 09:04:56,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,Voicemail,10,0
CALL000042,2026-04-28 17:35:09,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,Busy,0,0
CALL000043,2026-04-28 13:13:43,2026-04-28,AGT014,Chris Taylor,CMP001,Q2 Collections Drive,Five9,Connected,85,1
CALL000044,2026-04-28 14:39:47,2026-04-28,AGT008,Raj Chen,CMP003,Customer Support Inbound,Acqueon,Voicemail,45,0
CALL000045,2026-04-28 10:56:26,2026-04-28,AGT005,James Williams,CMP005,New Leads May Blast,Five9,Connected,211,1
CALL000046,2026-04-28 14:51:42,2026-04-28,AGT001,Priya Smith,CMP001,Q2 Collections Drive,Five9,Wrong Number,0,0
CALL000047,2026-04-28 09:24:55,2026-04-28,AGT008,Raj Chen,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000048,2026-04-28 13:19:52,2026-04-28,AGT002,Priya Lewis,CMP005,New Leads May Blast,Five9,Connected,516,1
CALL000049,2026-04-28 14:21:17,2026-04-28,AGT008,Raj Chen,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000050,2026-04-28 16:25:43,2026-04-28,AGT003,Kevin Kim,CMP005,New Leads May Blast,Five9,Connected,701,1
CALL000051,2026-04-28 10:37:16,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Connected,312,1
CALL000052,2026-04-28 13:27:38,2026-04-28,AGT002,Priya Lewis,CMP001,Q2 Collections Drive,Five9,Voicemail,56,0
CALL000053,2026-04-28 11:16:02,2026-04-28,AGT017,Andre Wilson,CMP001,Q2 Collections Drive,Five9,Wrong Number,0,0
CALL000054,2026-04-28 16:43:46,2026-04-28,AGT014,Chris Taylor,CMP001,Q2 Collections Drive,Five9,Wrong Number,0,0
CALL000055,2026-04-28 17:20:42,2026-04-28,AGT007,Mei Davis,CMP002,Product Renewal Outreach,Twilio,Connected,383,1
CALL000056,2026-04-28 14:20:25,2026-04-28,AGT004,Omar Lewis,CMP003,Customer Support Inbound,Acqueon,Connected,361,1
CALL000057,2026-04-28 10:39:36,2026-04-28,AGT010,Linda Martinez,CMP003,Customer Support Inbound,Acqueon,Connected,433,1
CALL000058,2026-04-28 12:18:13,2026-04-28,AGT010,Linda Martinez,CMP002,Product Renewal Outreach,Twilio,Busy,0,0
CALL000059,2026-04-28 13:29:28,2026-04-28,AGT014,Chris Taylor,CMP004,Win-Back Campaign,RingCentral,No Answer,0,0
CALL000060,2026-04-28 10:42:05,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,Voicemail,60,0
CALL000061,2026-04-28 13:05:52,2026-04-28,AGT010,Linda Martinez,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000062,2026-04-28 10:01:02,2026-04-28,AGT008,Raj Chen,CMP003,Customer Support Inbound,Acqueon,Connected,248,1
CALL000063,2026-04-28 09:29:26,2026-04-28,AGT008,Raj Chen,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000064,2026-04-28 15:25:15,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000065,2026-04-28 14:14:11,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,Connected,154,1
CALL000066,2026-04-28 09:29:08,2026-04-28,AGT017,Andre Wilson,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000067,2026-04-28 13:48:57,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,Callback Scheduled,48,0
CALL000068,2026-04-28 16:27:53,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000069,2026-04-28 15:16:48,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Connected,531,1
CALL000070,2026-04-28 15:40:15,2026-04-28,AGT008,Raj Chen,CMP004,Win-Back Campaign,RingCentral,Connected,578,1
CALL000071,2026-04-28 11:17:21,2026-04-28,AGT009,Nina Robinson,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000072,2026-04-28 11:24:44,2026-04-28,AGT011,Raj Davis,CMP005,New Leads May Blast,Five9,Connected,199,1
CALL000073,2026-04-28 13:34:29,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,Connected,462,1
CALL000074,2026-04-28 14:57:49,2026-04-28,AGT014,Chris Taylor,CMP001,Q2 Collections Drive,Five9,Busy,0,0
CALL000075,2026-04-28 14:30:00,2026-04-28,AGT019,Julia Davis,CMP005,New Leads May Blast,Five9,Connected,634,1
CALL000076,2026-04-28 16:47:47,2026-04-28,AGT012,Nina Anderson,CMP001,Q2 Collections Drive,Five9,Voicemail,36,0
CALL000077,2026-04-28 15:14:17,2026-04-28,AGT018,Chris Johnson,CMP004,Win-Back Campaign,RingCentral,Wrong Number,0,0
CALL000078,2026-04-28 14:46:10,2026-04-28,AGT014,Chris Taylor,CMP002,Product Renewal Outreach,Twilio,Voicemail,52,0
CALL000079,2026-04-28 08:58:25,2026-04-28,AGT015,Julia Brown,CMP005,New Leads May Blast,Five9,Callback Scheduled,44,0
CALL000080,2026-04-28 14:08:55,2026-04-28,AGT019,Julia Davis,CMP003,Customer Support Inbound,Acqueon,Connected,703,1
CALL000081,2026-04-28 11:29:20,2026-04-28,AGT015,Julia Brown,CMP001,Q2 Collections Drive,Five9,Connected,380,1
CALL000082,2026-04-28 14:16:53,2026-04-28,AGT011,Raj Davis,CMP004,Win-Back Campaign,RingCentral,Voicemail,58,0
CALL000083,2026-04-28 08:22:14,2026-04-28,AGT003,Kevin Kim,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000084,2026-04-28 08:15:12,2026-04-28,AGT003,Kevin Kim,CMP004,Win-Back Campaign,RingCentral,No Answer,0,0
CALL000085,2026-04-28 09:36:13,2026-04-28,AGT001,Priya Smith,CMP003,Customer Support Inbound,Acqueon,Connected,529,1
CALL000086,2026-04-28 10:38:38,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000087,2026-04-28 09:37:01,2026-04-28,AGT004,Omar Lewis,CMP004,Win-Back Campaign,RingCentral,Connected,363,1
CALL000088,2026-04-28 14:25:45,2026-04-28,AGT010,Linda Martinez,CMP003,Customer Support Inbound,Acqueon,Wrong Number,0,0
CALL000089,2026-04-28 11:06:44,2026-04-28,AGT007,Mei Davis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000090,2026-04-28 09:50:36,2026-04-28,AGT010,Linda Martinez,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000091,2026-04-28 09:32:41,2026-04-28,AGT002,Priya Lewis,CMP002,Product Renewal Outreach,Twilio,Voicemail,33,0
CALL000092,2026-04-28 09:27:23,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,41,0
CALL000093,2026-04-28 16:41:17,2026-04-28,AGT015,Julia Brown,CMP003,Customer Support Inbound,Acqueon,Voicemail,56,0
CALL000094,2026-04-28 15:27:52,2026-04-28,AGT020,Nina Brown,CMP004,Win-Back Campaign,RingCentral,Voicemail,40,0
CALL000095,2026-04-28 09:17:56,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,Busy,0,0
CALL000096,2026-04-28 14:21:01,2026-04-28,AGT015,Julia Brown,CMP001,Q2 Collections Drive,Five9,Voicemail,49,0
CALL000097,2026-04-28 13:51:16,2026-04-28,AGT016,Linda Garcia,CMP005,New Leads May Blast,Five9,Connected,262,1
CALL000098,2026-04-28 12:35:00,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000099,2026-04-28 15:35:48,2026-04-28,AGT017,Andre Wilson,CMP005,New Leads May Blast,Five9,Connected,461,1
CALL000100,2026-04-28 15:28:50,2026-04-28,AGT008,Raj Chen,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000101,2026-04-28 12:42:37,2026-04-28,AGT001,Priya Smith,CMP001,Q2 Collections Drive,Five9,Connected,294,1
CALL000102,2026-04-28 16:21:22,2026-04-28,AGT012,Nina Anderson,CMP002,Product Renewal Outreach,Twilio,Voicemail,37,0
CALL000103,2026-04-28 11:20:07,2026-04-28,AGT015,Julia Brown,CMP001,Q2 Collections Drive,Five9,Connected,168,1
CALL000104,2026-04-28 11:13:47,2026-04-28,AGT018,Chris Johnson,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000105,2026-04-28 16:38:18,2026-04-28,AGT016,Linda Garcia,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000106,2026-04-28 10:19:00,2026-04-28,AGT004,Omar Lewis,CMP004,Win-Back Campaign,RingCentral,Connected,414,1
CALL000107,2026-04-28 16:18:44,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Connected,100,1
CALL000108,2026-04-28 09:55:00,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000109,2026-04-28 10:03:16,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,31,0
CALL000110,2026-04-28 09:36:40,2026-04-28,AGT016,Linda Garcia,CMP001,Q2 Collections Drive,Five9,Connected,548,1
CALL000111,2026-04-28 12:05:15,2026-04-28,AGT002,Priya Lewis,CMP001,Q2 Collections Drive,Five9,Busy,0,0
CALL000112,2026-04-28 17:14:49,2026-04-28,AGT004,Omar Lewis,CMP003,Customer Support Inbound,Acqueon,Voicemail,48,0
CALL000113,2026-04-28 12:55:37,2026-04-28,AGT017,Andre Wilson,CMP002,Product Renewal Outreach,Twilio,Wrong Number,0,0
CALL000114,2026-04-28 17:47:06,2026-04-28,AGT014,Chris Taylor,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000115,2026-04-28 10:15:11,2026-04-28,AGT007,Mei Davis,CMP003,Customer Support Inbound,Acqueon,Connected,128,1
CALL000116,2026-04-28 17:30:18,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Connected,506,1
CALL000117,2026-04-28 15:04:43,2026-04-28,AGT002,Priya Lewis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000118,2026-04-28 17:42:51,2026-04-28,AGT008,Raj Chen,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000119,2026-04-28 10:58:17,2026-04-28,AGT007,Mei Davis,CMP002,Product Renewal Outreach,Twilio,Voicemail,51,0
CALL000120,2026-04-28 17:47:52,2026-04-28,AGT005,James Williams,CMP001,Q2 Collections Drive,Five9,Connected,359,1
CALL000121,2026-04-28 12:44:25,2026-04-28,AGT019,Julia Davis,CMP005,New Leads May Blast,Five9,Voicemail,39,0
CALL000122,2026-04-28 17:02:56,2026-04-28,AGT009,Nina Robinson,CMP003,Customer Support Inbound,Acqueon,Voicemail,15,0
CALL000123,2026-04-28 08:05:14,2026-04-28,AGT014,Chris Taylor,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000124,2026-04-28 17:02:48,2026-04-28,AGT019,Julia Davis,CMP003,Customer Support Inbound,Acqueon,Connected,320,1
CALL000125,2026-04-28 12:11:37,2026-04-28,AGT006,Tyler Patel,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000126,2026-04-28 15:22:26,2026-04-28,AGT014,Chris Taylor,CMP003,Customer Support Inbound,Acqueon,Voicemail,15,0
CALL000127,2026-04-28 13:26:44,2026-04-28,AGT011,Raj Davis,CMP002,Product Renewal Outreach,Twilio,Connected,209,1
CALL000128,2026-04-28 16:02:29,2026-04-28,AGT016,Linda Garcia,CMP001,Q2 Collections Drive,Five9,Do Not Call,0,0
CALL000129,2026-04-28 16:52:00,2026-04-28,AGT003,Kevin Kim,CMP002,Product Renewal Outreach,Twilio,Connected,458,1
CALL000130,2026-04-28 13:39:48,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Connected,575,1
CALL000131,2026-04-28 11:17:35,2026-04-28,AGT016,Linda Garcia,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000132,2026-04-28 15:07:01,2026-04-28,AGT005,James Williams,CMP005,New Leads May Blast,Five9,Voicemail,54,0
CALL000133,2026-04-28 12:35:00,2026-04-28,AGT020,Nina Brown,CMP004,Win-Back Campaign,RingCentral,No Answer,0,0
CALL000134,2026-04-28 15:07:41,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Connected,161,1
CALL000135,2026-04-28 16:45:17,2026-04-28,AGT005,James Williams,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000136,2026-04-28 15:35:09,2026-04-28,AGT014,Chris Taylor,CMP004,Win-Back Campaign,RingCentral,Callback Scheduled,25,0
CALL000137,2026-04-28 10:55:04,2026-04-28,AGT013,Kevin Walker,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000138,2026-04-28 13:59:50,2026-04-28,AGT009,Nina Robinson,CMP004,Win-Back Campaign,RingCentral,Busy,0,0
CALL000139,2026-04-28 17:37:42,2026-04-28,AGT017,Andre Wilson,CMP001,Q2 Collections Drive,Five9,Connected,350,1
CALL000140,2026-04-28 13:21:35,2026-04-28,AGT016,Linda Garcia,CMP005,New Leads May Blast,Five9,Voicemail,40,0
CALL000141,2026-04-28 11:44:15,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Do Not Call,0,0
CALL000142,2026-04-28 14:02:20,2026-04-28,AGT019,Julia Davis,CMP002,Product Renewal Outreach,Twilio,Busy,0,0
CALL000143,2026-04-28 14:42:50,2026-04-28,AGT016,Linda Garcia,CMP003,Customer Support Inbound,Acqueon,Busy,0,0
CALL000144,2026-04-28 17:21:55,2026-04-28,AGT005,James Williams,CMP002,Product Renewal Outreach,Twilio,Connected,559,1
CALL000145,2026-04-28 15:00:46,2026-04-28,AGT004,Omar Lewis,CMP005,New Leads May Blast,Five9,Voicemail,43,0
CALL000146,2026-04-28 10:04:30,2026-04-28,AGT005,James Williams,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000147,2026-04-28 09:54:21,2026-04-28,AGT009,Nina Robinson,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000148,2026-04-28 16:02:39,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,Connected,544,1
CALL000149,2026-04-28 12:14:47,2026-04-28,AGT003,Kevin Kim,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000150,2026-04-28 09:28:10,2026-04-28,AGT003,Kevin Kim,CMP002,Product Renewal Outreach,Twilio,Connected,693,1
CALL000151,2026-04-28 12:22:23,2026-04-28,AGT010,Linda Martinez,CMP005,New Leads May Blast,Five9,Connected,102,1
CALL000152,2026-04-28 10:10:11,2026-04-28,AGT014,Chris Taylor,CMP001,Q2 Collections Drive,Five9,Voicemail,46,0
CALL000153,2026-04-28 11:31:58,2026-04-28,AGT003,Kevin Kim,CMP003,Customer Support Inbound,Acqueon,Voicemail,53,0
CALL000154,2026-04-28 15:16:42,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,26,0
CALL000155,2026-04-28 16:10:04,2026-04-28,AGT001,Priya Smith,CMP005,New Leads May Blast,Five9,Voicemail,28,0
CALL000156,2026-04-28 14:44:16,2026-04-28,AGT015,Julia Brown,CMP005,New Leads May Blast,Five9,Callback Scheduled,29,0
CALL000157,2026-04-28 15:06:15,2026-04-28,AGT015,Julia Brown,CMP004,Win-Back Campaign,RingCentral,Connected,438,1
CALL000158,2026-04-28 12:01:53,2026-04-28,AGT013,Kevin Walker,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000159,2026-04-28 08:58:38,2026-04-28,AGT013,Kevin Walker,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000160,2026-04-28 11:38:51,2026-04-28,AGT016,Linda Garcia,CMP004,Win-Back Campaign,RingCentral,Wrong Number,0,0
CALL000161,2026-04-28 10:40:06,2026-04-28,AGT012,Nina Anderson,CMP001,Q2 Collections Drive,Five9,Connected,301,1
CALL000162,2026-04-28 13:46:08,2026-04-28,AGT002,Priya Lewis,CMP002,Product Renewal Outreach,Twilio,Voicemail,47,0
CALL000163,2026-04-28 10:12:08,2026-04-28,AGT003,Kevin Kim,CMP005,New Leads May Blast,Five9,Connected,470,1
CALL000164,2026-04-28 12:53:10,2026-04-28,AGT018,Chris Johnson,CMP005,New Leads May Blast,Five9,Voicemail,42,0
CALL000165,2026-04-28 12:47:55,2026-04-28,AGT009,Nina Robinson,CMP005,New Leads May Blast,Five9,Do Not Call,0,0
CALL000166,2026-04-28 10:48:14,2026-04-28,AGT011,Raj Davis,CMP004,Win-Back Campaign,RingCentral,Voicemail,14,0
CALL000167,2026-04-28 13:05:50,2026-04-28,AGT013,Kevin Walker,CMP005,New Leads May Blast,Five9,Busy,0,0
CALL000168,2026-04-28 13:43:47,2026-04-28,AGT013,Kevin Walker,CMP001,Q2 Collections Drive,Five9,Voicemail,39,0
CALL000169,2026-04-28 13:06:43,2026-04-28,AGT009,Nina Robinson,CMP003,Customer Support Inbound,Acqueon,Busy,0,0
CALL000170,2026-04-28 16:20:58,2026-04-28,AGT008,Raj Chen,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000171,2026-04-28 12:41:26,2026-04-28,AGT020,Nina Brown,CMP001,Q2 Collections Drive,Five9,Connected,520,1
CALL000172,2026-04-28 12:31:07,2026-04-28,AGT004,Omar Lewis,CMP001,Q2 Collections Drive,Five9,Do Not Call,0,0
CALL000173,2026-04-28 15:23:42,2026-04-28,AGT004,Omar Lewis,CMP001,Q2 Collections Drive,Five9,Voicemail,34,0
CALL000174,2026-04-28 10:56:26,2026-04-28,AGT018,Chris Johnson,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000175,2026-04-28 12:02:44,2026-04-28,AGT004,Omar Lewis,CMP004,Win-Back Campaign,RingCentral,No Answer,0,0
CALL000176,2026-04-28 13:06:43,2026-04-28,AGT012,Nina Anderson,CMP001,Q2 Collections Drive,Five9,Voicemail,25,0
CALL000177,2026-04-28 08:25:17,2026-04-28,AGT012,Nina Anderson,CMP003,Customer Support Inbound,Acqueon,Callback Scheduled,32,0
CALL000178,2026-04-28 15:05:42,2026-04-28,AGT007,Mei Davis,CMP005,New Leads May Blast,Five9,Do Not Call,0,0
CALL000179,2026-04-28 08:03:50,2026-04-28,AGT007,Mei Davis,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000180,2026-04-28 11:04:53,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,Connected,623,1
CALL000181,2026-04-28 13:49:09,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Connected,283,1
CALL000182,2026-04-28 10:08:34,2026-04-28,AGT020,Nina Brown,CMP001,Q2 Collections Drive,Five9,Busy,0,0
CALL000183,2026-04-28 10:00:22,2026-04-28,AGT009,Nina Robinson,CMP004,Win-Back Campaign,RingCentral,Connected,71,1
CALL000184,2026-04-28 08:08:47,2026-04-28,AGT008,Raj Chen,CMP003,Customer Support Inbound,Acqueon,Connected,316,1
CALL000185,2026-04-28 15:28:49,2026-04-28,AGT014,Chris Taylor,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000186,2026-04-28 11:39:02,2026-04-28,AGT012,Nina Anderson,CMP003,Customer Support Inbound,Acqueon,Connected,560,1
CALL000187,2026-04-28 08:03:30,2026-04-28,AGT017,Andre Wilson,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000188,2026-04-28 09:57:05,2026-04-28,AGT013,Kevin Walker,CMP002,Product Renewal Outreach,Twilio,Connected,499,1
CALL000189,2026-04-28 17:40:37,2026-04-28,AGT011,Raj Davis,CMP003,Customer Support Inbound,Acqueon,Connected,326,1
CALL000190,2026-04-28 16:18:29,2026-04-28,AGT018,Chris Johnson,CMP003,Customer Support Inbound,Acqueon,Voicemail,48,0
CALL000191,2026-04-28 16:46:55,2026-04-28,AGT017,Andre Wilson,CMP003,Customer Support Inbound,Acqueon,Connected,162,1
CALL000192,2026-04-28 14:21:52,2026-04-28,AGT007,Mei Davis,CMP002,Product Renewal Outreach,Twilio,Wrong Number,0,0
CALL000193,2026-04-28 13:27:20,2026-04-28,AGT015,Julia Brown,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000194,2026-04-28 09:05:53,2026-04-28,AGT009,Nina Robinson,CMP002,Product Renewal Outreach,Twilio,Connected,530,1
CALL000195,2026-04-28 10:35:03,2026-04-28,AGT003,Kevin Kim,CMP001,Q2 Collections Drive,Five9,Connected,426,1
CALL000196,2026-04-28 09:26:22,2026-04-28,AGT019,Julia Davis,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000197,2026-04-28 12:38:19,2026-04-28,AGT014,Chris Taylor,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000198,2026-04-28 15:14:54,2026-04-28,AGT012,Nina Anderson,CMP001,Q2 Collections Drive,Five9,Voicemail,19,0
CALL000199,2026-04-28 09:48:17,2026-04-28,AGT004,Omar Lewis,CMP002,Product Renewal Outreach,Twilio,No Answer,0,0
CALL000200,2026-04-28 17:39:43,2026-04-28,AGT019,Julia Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,45,0
CALL000201,2026-04-28 12:01:11,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Wrong Number,0,0
CALL000202,2026-04-28 13:00:11,2026-04-28,AGT009,Nina Robinson,CMP003,Customer Support Inbound,Acqueon,Connected,392,1
CALL000203,2026-04-28 08:05:47,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,Voicemail,19,0
CALL000204,2026-04-28 10:23:19,2026-04-28,AGT017,Andre Wilson,CMP001,Q2 Collections Drive,Five9,Voicemail,31,0
